scope,season,stat_key,stat_name,anomaly_type,match_label,round_label,entity_label,raw_value,parsed_value,expected_range,notes
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rabbitohs v Eels,21,away,110,1.8333333333333333,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rabbitohs v Eels,21,home,80,80,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rabbitohs v Magpies,6,away,72,72,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rabbitohs v Magpies,6,home,52,52,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rabbitohs v Rams,18,away,113,1.8833333333333333,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rabbitohs v Rams,18,home,61,61,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rabbitohs v Roosters,13,away,87,87,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rabbitohs v Roosters,13,home,108,1.8,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rabbitohs v Storm,10,away,65,65,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rabbitohs v Storm,10,home,80,80,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rabbitohs v Warriors,22,away,78,78,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Raiders v Bulldogs,18,away,83,83,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Raiders v Knights,15,home,102,1.7,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Raiders v Sea Eagles,25,home,60,60,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Raiders v Sharks,17,away,86,86,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Raiders v Sharks,17,home,106,1.7666666666666666,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Raiders v Steelers,6,away,90,90,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Raiders v Steelers,6,home,115,1.9166666666666667,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Raiders v Tigers,8,home,53,53,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rams v Bulldogs,3,home,58,58,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rams v Cowboys,1,away,0,0,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rams v Cowboys,1,home,90,90,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rams v Dragons,13,away,78,78,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rams v Dragons,13,home,150,2.5,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rams v Raiders,9,home,104,1.7333333333333334,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rams v Sea Eagles,22,home,107,1.7833333333333334,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rams v Sharks,7,away,180,3,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rams v Sharks,7,home,199,3.316666666666667,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rams v Steelers,15,home,107,1.7833333333333334,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rams v Tigers,17,away,154,2.566666666666667,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rams v Tigers,17,home,187,3.1166666666666667,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rams v Warriors,20,away,83,83,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rams v Warriors,20,home,74,74,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Roosters v Bears,2,home,82,82,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Roosters v Eels,17,away,166,2.7666666666666666,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Roosters v Eels,17,home,188,3.1333333333333333,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Roosters v Knights,12,away,102,1.7,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Roosters v Knights,12,home,187,3.1166666666666667,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Roosters v Magpies,19,away,131,2.183333333333333,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Roosters v Magpies,19,home,200,3.3333333333333335,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Roosters v Raiders,16,home,74,74,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Roosters v Rams,6,home,74,74,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Roosters v Sharks,14,away,204,3.4,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Roosters v Sharks,14,home,226,3.7666666666666666,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Roosters v Steelers,4,away,166,2.7666666666666666,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Roosters v Steelers,4,home,187,3.1166666666666667,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Roosters v Storm,21,away,65,65,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Roosters v Storm,21,home,65,65,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Roosters v Warriors,8,away,58,58,stat-specific sanity range,
